"No.","Time","Source","Destination","Protocol","Length","Info"
"200","18.242546700","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.3"
"201","18.243802100","192.168.129.20","192.168.129.224","SNMP","93","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.3"
"204","18.252776900","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.5"
"205","18.253965700","192.168.129.20","192.168.129.224","SNMP","94","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.5"
"208","18.271026400","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.9"
"209","18.272016600","192.168.129.20","192.168.129.224","SNMP","91","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.9"
"215","18.289321700","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.11"
"216","18.290805300","192.168.129.20","192.168.129.224","SNMP","94","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.11"
"219","18.307330500","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.71"
"220","18.308129700","192.168.129.20","192.168.129.224","SNMP","92","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.71"
"223","18.322526700","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.72"
"224","18.323351500","192.168.129.20","192.168.129.224","SNMP","91","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.72"
"227","18.338669100","192.168.129.224","192.168.129.20","SNMP","75","get-request 0.0"
"228","18.338955200","192.168.129.20","192.168.129.224","SNMP","75","get-response 0.0"
"231","18.355402100","192.168.129.224","192.168.129.20","SNMP","75","get-request 0.0"
"232","18.355697300","192.168.129.20","192.168.129.224","SNMP","75","get-response 0.0"
"263","20.027490800","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.3"
"264","20.028695700","192.168.129.20","192.168.129.224","SNMP","93","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.3"
"267","20.037833200","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.5"
"268","20.038950400","192.168.129.20","192.168.129.224","SNMP","94","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.5"
"271","20.054674400","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.9"
"272","20.055667900","192.168.129.20","192.168.129.224","SNMP","91","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.9"
"275","20.069768100","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.11"
"276","20.071206900","192.168.129.20","192.168.129.224","SNMP","94","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.11"
"279","20.086199600","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.71"
"280","20.087240400","192.168.129.20","192.168.129.224","SNMP","92","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.71"
"283","20.105849300","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.72"
"284","20.106879200","192.168.129.20","192.168.129.224","SNMP","91","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.72"
"290","20.121623800","192.168.129.224","192.168.129.20","SNMP","75","get-request 0.0"
"291","20.122140400","192.168.129.20","192.168.129.224","SNMP","75","get-response 0.0"
"297","20.137415700","192.168.129.224","192.168.129.20","SNMP","75","get-request 0.0"
"298","20.137718100","192.168.129.20","192.168.129.224","SNMP","75","get-response 0.0"
"365","21.970922300","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.3"
"366","21.972164700","192.168.129.20","192.168.129.224","SNMP","93","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.3"
"369","21.983138900","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.5"
"370","21.984288200","192.168.129.20","192.168.129.224","SNMP","94","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.5"
"373","21.999981800","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.9"
"375","22.000996300","192.168.129.20","192.168.129.224","SNMP","91","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.9"
"378","22.012879800","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.11"
"379","22.014223400","192.168.129.20","192.168.129.224","SNMP","94","get-response 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.11"
"384","22.030407600","192.168.129.224","192.168.129.20","SNMP","90","get-request 1.3.6.1.4.1.367.3.2.1.2.19.5.1.9.71"
